date,prcp(mm/day),petpt(mm/day),petfao56(mm/day),streamflow(ft3/s)
1990-04-11,7.45,0.78,0.59,2850.0
1990-04-12,0.18,2.11,1.73,2910.0
1990-04-13,0.0,2.72,2.31,2900.0
1990-04-14,3.28,2.54,2.44,2870.0
1990-04-15,5.48,1.58,1.32,2880.0
1990-04-16,0.0,2.39,1.95,2950.0
1990-04-17,4.73,1.89,1.64,3110.0
1990-04-18,0.0,1.81,1.39,3180.0
1990-04-19,0.0,3.69,3.34,3230.0
1990-04-20,7.37,2.89,2.94,3400.0
1990-04-21,0.13,2.5,2.02,3890.0
1990-04-22,2.55,3.45,3.38,4380.0
1990-04-23,0.0,2.58,2.07,4960.0
1990-04-24,0.0,4.38,4.06,5440.0
1990-04-25,0.0,3.86,3.35,5880.0
1990-04-26,0.0,4.97,4.83,6190.0
1990-04-27,0.16,5.93,6.72,6860.0
1990-04-28,0.0,3.37,2.81,8070.0
1990-04-29,0.0,3.35,2.76,8460.0
1990-04-30,0.0,5.66,5.89,8320.0
1990-05-01,3.25,4.32,4.58,8110.0
1990-05-02,0.0,3.69,3.23,7900.0
1990-05-03,0.0,4.22,3.83,7500.0
1990-05-04,0.0,4.55,4.28,7000.0
1990-05-05,3.44,2.93,2.71,6540.0
1990-05-06,4.36,1.89,1.56,6180.0
1990-05-07,0.26,3.92,3.51,5840.0
1990-05-08,0.0,4.74,4.48,5450.0
1990-05-09,0.67,5.24,5.32,5040.0
1990-05-10,6.88,3.28,3.07,4670.0
1990-05-11,5.3,2.32,2.02,4440.0
1990-05-12,0.0,4.89,4.74,4160.0
1990-05-13,0.0,4.03,3.66,3900.0
1990-05-14,0.0,5.24,5.21,3610.0
1990-05-15,5.98,3.88,4.37,3370.0
1990-05-16,0.0,4.01,3.64,3130.0
1990-05-17,10.67,3.11,2.94,2930.0
1990-05-18,6.23,1.52,1.24,2900.0
1990-05-19,3.93,1.78,1.45,2850.0
1990-05-20,0.76,2.97,2.4,2790.0
1990-05-21,11.31,1.73,1.41,2720.0
1990-05-22,19.51,1.38,1.08,2950.0
1990-05-23,1.11,3.79,3.24,3430.0
1990-05-24,0.0,4.89,4.48,3580.0
1990-05-25,0.0,5.64,5.66,3660.0
1990-05-26,0.0,6.03,6.37,3640.0
1990-05-27,0.01,6.2,6.53,3540.0
1990-05-28,0.0,6.31,6.65,3420.0
1990-05-29,0.57,3.51,2.96,3230.0
1990-05-30,0.1,3.03,2.45,3040.0
1990-05-31,0.0,4.59,4.17,2870.0
1990-06-01,0.0,6.35,6.99,2720.0
1990-06-02,0.0,6.04,6.23,2550.0
1990-06-03,6.38,4.84,5.31,2400.0
1990-06-04,5.59,3.22,2.98,2340.0
1990-06-05,0.72,3.45,2.89,2230.0
1990-06-06,0.84,4.71,4.41,2110.0
1990-06-07,5.07,3.78,3.67,2010.0
1990-06-08,0.0,5.22,4.97,1920.0
1990-06-09,1.84,4.8,4.71,1820.0
1990-06-10,3.14,2.52,2.14,1710.0
1990-06-11,0.0,4.9,4.55,1590.0
1990-06-12,0.0,5.76,6.24,1500.0
1990-06-13,0.0,5.91,6.32,1410.0
1990-06-14,0.0,5.46,5.42,1330.0
1990-06-15,4.09,3.02,2.82,1250.0
1990-06-16,0.37,5.17,5.09,1190.0
1990-06-17,7.55,4.2,4.44,1130.0
1990-06-18,10.61,2.76,2.66,1130.0
1990-06-19,11.01,1.59,1.42,1110.0
1990-06-20,0.68,2.42,2.05,1110.0
1990-06-21,4.69,2.35,2.16,1090.0
1990-06-22,3.7,2.91,2.71,1100.0
1990-06-23,10.33,1.51,1.37,1110.0
1990-06-24,7.27,2.93,2.79,1160.0
1990-06-25,0.0,4.7,4.35,1200.0
1990-06-26,0.0,5.37,5.26,1200.0
1990-06-27,5.68,3.88,3.9,1190.0
1990-06-28,0.0,4.2,3.74,1150.0
1990-06-29,0.0,5.05,5.02,1120.0
1990-06-30,0.0,4.87,4.59,1060.0
1990-07-01,0.0,4.54,4.12,1000.0
1990-07-02,0.0,5.3,5.35,956.0
1990-07-03,6.99,3.78,3.79,912.0
1990-07-04,0.44,2.8,2.37,903.0
1990-07-05,0.0,3.73,3.24,830.0
1990-07-06,0.0,4.15,3.7,772.0
1990-07-07,0.22,4.34,3.96,727.0
1990-07-08,7.79,3.95,4.48,687.0
1990-07-09,4.04,3.82,3.88,688.0
1990-07-10,0.97,4.07,3.79,651.0
1990-07-11,0.0,4.38,3.99,600.0
1990-07-12,0.0,4.41,4.05,569.0
1990-07-13,0.0,4.91,5.09,541.0
1990-07-14,0.0,5.31,5.94,517.0
1990-07-15,0.0,4.97,4.84,489.0
1990-07-16,0.0,4.94,4.77,470.0
1990-07-17,0.75,4.87,4.84,444.0
1990-07-18,0.19,5.18,5.33,424.0
1990-07-19,4.04,3.38,3.4,410.0
1990-07-20,0.45,3.42,3.08,393.0
1990-07-21,0.0,4.52,4.37,370.0
1990-07-22,0.0,4.86,5.16,352.0
1990-07-23,29.25,1.85,1.71,365.0
1990-07-24,9.51,2.42,2.31,440.0
1990-07-25,1.64,3.06,2.82,457.0
1990-07-26,0.0,4.8,4.78,467.0
1990-07-27,0.18,5.07,5.44,476.0
1990-07-28,0.0,5.05,5.38,495.0
1990-07-29,0.0,5.19,5.73,488.0
1990-07-30,0.0,5.08,5.47,477.0
1990-07-31,0.0,4.62,4.73,464.0
1990-08-01,0.72,2.25,1.99,427.0
1990-08-02,0.0,4.28,4.28,392.0
1990-08-03,0.0,4.68,5.07,373.0
1990-08-04,0.0,4.89,5.67,363.0
1990-08-05,0.0,4.83,5.47,352.0
1990-08-06,2.66,2.15,2.11,343.0
1990-08-07,3.7,1.91,1.84,329.0
1990-08-08,9.95,2.61,2.68,328.0
1990-08-09,0.0,3.83,3.79,322.0
1990-08-10,5.31,2.95,3.14,303.0
1990-08-11,16.43,1.58,1.55,302.0
1990-08-12,1.44,3.29,3.26,307.0
1990-08-13,42.91,2.29,2.24,307.0
1990-08-14,0.03,2.77,2.51,575.0
1990-08-15,0.0,3.89,4.01,556.0
1990-08-16,0.0,3.7,3.68,534.0
1990-08-17,0.0,4.25,4.66,530.0
1990-08-18,7.52,3.2,3.67,523.0
1990-08-19,0.0,3.08,3.0,525.0
1990-08-20,0.0,3.4,3.74,517.0
1990-08-21,0.0,3.64,4.2,501.0
1990-08-22,0.0,3.77,4.56,479.0
1990-08-23,0.0,3.86,4.76,460.0
1990-08-24,0.0,3.88,4.74,441.0
1990-08-25,0.0,3.78,4.42,422.0
1990-08-26,0.0,3.84,4.57,402.0
1990-08-27,16.22,2.85,3.48,387.0
1990-08-28,8.3,2.44,2.78,372.0
1990-08-29,9.02,2.18,2.39,381.0
1990-08-30,0.0,3.0,3.3,385.0
1990-08-31,0.0,3.14,3.65,369.0
1990-09-01,0.0,3.26,3.95,357.0
1990-09-02,0.0,2.86,3.13,341.0
1990-09-03,0.0,2.71,3.06,316.0
1990-09-04,2.98,2.4,3.35,303.0
1990-09-05,1.45,2.55,3.09,287.0
1990-09-06,1.26,2.7,3.64,271.0
1990-09-07,12.91,1.94,2.37,272.0
1990-09-08,0.0,2.24,2.65,267.0
1990-09-09,0.0,2.51,3.43,260.0
1990-09-10,0.54,2.23,2.58,251.0
1990-09-11,0.0,1.98,2.19,233.0
1990-09-12,0.0,2.32,3.21,227.0
1990-09-13,2.51,1.68,1.93,212.0
1990-09-14,0.0,2.37,3.29,214.0
1990-09-15,10.49,1.36,1.59,218.0
1990-09-16,0.0,1.23,1.21,203.0
1990-09-17,0.13,1.33,1.42,191.0
1990-09-18,0.0,1.36,1.48,181.0
1990-09-19,4.76,1.37,1.79,170.0
1990-09-20,3.41,1.03,1.14,170.0
1990-09-21,0.0,1.74,2.2,166.0
1990-09-22,28.47,1.23,1.44,165.0
1990-09-23,20.94,1.26,1.47,327.0
1990-09-24,1.05,1.25,1.33,448.0
1990-09-25,0.0,1.73,2.29,454.0
1990-09-26,0.01,1.65,2.02,487.0
1990-09-27,0.0,1.61,1.88,517.0
1990-09-28,5.12,1.42,1.9,534.0
1990-09-29,2.75,1.13,1.27,555.0
1990-09-30,23.78,1.1,1.39,588.0
1990-10-01,1.55,1.24,1.49,830.0
1990-10-02,3.5,0.85,0.94,898.0
1990-10-03,0.0,1.2,1.49,961.0
1990-10-04,8.99,1.15,2.31,1030.0
1990-10-05,3.22,1.13,1.55,1090.0
1990-10-06,4.37,1.24,2.43,1120.0
1990-10-07,7.51,0.93,1.09,1150.0
1990-10-08,4.47,0.52,0.56,1170.0
1990-10-09,17.77,0.36,0.38,1220.0
1990-10-10,2.9,0.73,0.75,1440.0
1990-10-11,6.9,0.97,1.35,1520.0
1990-10-12,11.22,1.07,1.6,1620.0
1990-10-13,18.32,1.11,1.47,1790.0
1990-10-14,5.88,0.98,1.15,2210.0
1990-10-15,0.18,1.07,1.71,2710.0
1990-10-16,0.0,0.89,1.47,3010.0
1990-10-17,3.5,0.8,1.46,3180.0
1990-10-18,7.53,0.89,1.59,3290.0
1990-10-19,12.45,0.78,1.13,3400.0
1990-10-20,0.0,0.66,0.9,3440.0
1990-10-21,0.0,0.63,1.53,3460.0
1990-10-22,4.07,0.67,1.13,3390.0
1990-10-23,21.32,0.58,0.97,3270.0
1990-10-24,38.28,0.49,0.59,3810.0
1990-10-25,0.0,0.54,0.62,4870.0
1990-10-26,0.0,0.51,0.65,5230.0
1990-10-27,0.0,0.47,0.55,5300.0
1990-10-28,5.12,0.44,0.99,5200.0
1990-10-29,1.3,0.49,0.58,5040.0
1990-10-30,0.0,0.44,0.86,4840.0
1990-10-31,0.0,0.45,0.59,4580.0
1990-11-01,0.0,0.39,0.66,4330.0
1990-11-02,2.34,0.39,0.67,4090.0
1990-11-03,4.7,0.43,0.73,3860.0
1990-11-04,9.28,0.44,1.44,3720.0
1990-11-05,3.72,0.41,0.61,3610.0
1990-11-06,21.49,0.18,0.24,3450.0
1990-11-07,0.04,0.33,0.37,3330.0
1990-11-08,0.0,0.31,0.39,3130.0
1990-11-09,0.0,0.21,0.64,2950.0
1990-11-10,33.72,0.26,0.61,2820.0
1990-11-11,6.98,0.32,0.44,2930.0
1990-11-12,8.68,0.25,0.3,2870.0
1990-11-13,2.09,0.18,0.52,2780.0
1990-11-14,0.0,0.22,0.48,2680.0
1990-11-15,0.0,0.11,0.74,2610.0
1990-11-16,6.9,0.32,0.52,2520.0
1990-11-17,2.18,0.29,0.33,2500.0
1990-11-18,0.5,0.27,0.38,2480.0
1990-11-19,11.26,0.22,0.41,2450.0
1990-11-20,0.01,0.16,0.4,2470.0
1990-11-21,0.0,0.21,0.36,2390.0
1990-11-22,3.2,0.2,0.45,2350.0
1990-11-23,3.93,0.24,0.31,2290.0
1990-11-24,3.48,0.31,0.43,2220.0
1990-11-25,4.91,0.28,0.42,2200.0
1990-11-26,0.0,0.15,0.32,2120.0
1990-11-27,3.66,0.04,0.81,2080.0
1990-11-28,0.0,-0.16,1.17,2030.0
1990-11-29,0.0,0.09,0.55,2090.0
1990-11-30,0.0,0.05,0.37,2160.0
1990-12-01,0.0,-0.08,0.63,2200.0
1990-12-02,0.0,-0.08,0.66,2190.0
1990-12-03,11.35,0.12,0.34,2150.0
1990-12-04,25.84,0.02,0.67,2200.0
1990-12-05,0.0,0.05,0.37,2260.0
1990-12-06,0.0,-0.06,0.43,2180.0
1990-12-07,0.0,-0.09,0.52,2140.0
1990-12-08,0.0,-0.04,0.45,2130.0
1990-12-09,0.0,0.03,0.4,2130.0
1990-12-10,0.0,-0.08,0.51,2090.0
1990-12-11,0.0,0.06,0.22,2020.0
1990-12-12,1.68,-0.03,0.47,1950.0
1990-12-13,3.72,-0.02,0.84,1910.0
1990-12-14,0.0,0.02,0.25,1790.0
1990-12-15,0.54,-0.05,0.42,1700.0
1990-12-16,3.43,-0.01,0.59,1650.0
1990-12-17,0.0,-0.01,0.47,1600.0
1990-12-18,10.0,0.06,0.61,1560.0
1990-12-19,0.0,0.04,0.41,1570.0
1990-12-20,0.0,-0.03,0.34,1460.0
1990-12-21,7.28,-0.03,0.85,1470.0
1990-12-22,8.15,0.08,0.65,1480.0
1990-12-23,15.95,0.21,0.62,1590.0
1990-12-24,10.6,0.15,0.27,1780.0
1990-12-25,0.0,-0.03,0.35,1770.0
1990-12-26,0.91,-0.04,0.44,1740.0
1990-12-27,0.0,-0.02,0.33,1710.0
1990-12-28,0.0,-0.06,0.57,1690.0
1990-12-29,5.03,-0.04,1.0,1660.0
1990-12-30,6.37,0.1,0.67,1610.0
1990-12-31,0.0,0.1,0.21,1580.0
1991-01-01,0.0,-0.02,0.5,1570.0
1991-01-02,0.0,-0.06,0.7,1560.0
1991-01-03,0.0,0.03,0.32,1550.0
1991-01-04,0.0,-0.0,0.46,1510.0
1991-01-05,0.54,0.03,0.46,1480.0
1991-01-06,0.03,0.11,0.4,1440.0
1991-01-07,0.0,0.07,0.21,1420.0
1991-01-08,0.0,0.04,0.19,1380.0
1991-01-09,6.91,0.04,0.55,1350.0
1991-01-10,0.0,0.04,0.35,1310.0
1991-01-11,0.98,0.06,0.2,1280.0
1991-01-12,9.34,0.07,0.31,1250.0
1991-01-13,0.0,0.08,0.32,1200.0
1991-01-14,1.81,0.03,0.51,1160.0
1991-01-15,0.23,0.06,0.45,1110.0
1991-01-16,13.14,0.15,0.66,1060.0
1991-01-17,0.0,0.24,0.45,1010.0
1991-01-18,2.32,0.16,0.47,980.0
1991-01-19,3.3,0.08,0.5,950.0
1991-01-20,0.0,0.04,0.61,930.0
1991-01-21,0.0,0.08,0.2,910.0
1991-01-22,0.0,0.06,0.24,890.0
1991-01-23,1.66,0.05,0.52,880.0
1991-01-24,0.0,0.06,0.65,860.0
1991-01-25,0.0,0.08,0.16,840.0
1991-01-26,0.0,0.06,0.51,830.0
1991-01-27,1.57,0.07,0.73,810.0
1991-01-28,0.0,0.13,0.73,800.0
1991-01-29,5.55,0.21,0.39,790.0
1991-01-30,6.22,0.19,0.44,780.0
1991-01-31,2.49,0.19,0.36,770.0
1991-02-01,0.0,0.13,0.28,760.0
1991-02-02,0.0,0.11,0.95,740.0
1991-02-03,0.0,0.18,1.07,730.0
1991-02-04,0.0,0.38,0.58,720.0
1991-02-05,0.0,0.4,0.69,730.0
1991-02-06,0.0,0.29,0.86,740.0
1991-02-07,0.0,0.32,0.77,740.0
1991-02-08,0.0,0.36,0.86,740.0
1991-02-09,0.0,0.35,0.81,735.0
1991-02-10,0.34,0.29,0.65,730.0
1991-02-11,0.0,0.2,0.55,700.0
1991-02-12,0.0,0.18,0.33,680.0
1991-02-13,0.0,0.22,0.63,650.0
1991-02-14,13.9,0.22,0.6,630.0
1991-02-15,6.31,0.34,0.82,610.0
1991-02-16,0.0,0.28,0.36,605.0
1991-02-17,0.07,0.31,0.74,600.0
1991-02-18,0.0,0.34,0.87,590.0
1991-02-19,6.96,0.34,1.21,580.0
1991-02-20,0.69,0.51,1.25,565.0
1991-02-21,0.0,0.53,0.88,565.0
1991-02-22,4.91,0.54,0.93,560.0
1991-02-23,0.0,0.28,0.36,550.0
1991-02-24,0.29,0.35,0.58,545.0
1991-02-25,0.0,0.43,0.74,540.0
1991-02-26,0.0,0.46,0.84,535.0
1991-02-27,0.0,0.52,0.96,535.0
1991-02-28,0.0,0.52,0.92,535.0
1991-03-01,0.91,0.71,1.33,540.0
1991-03-02,9.77,0.77,1.47,545.0
1991-03-03,9.39,0.55,0.62,555.0
1991-03-04,19.74,0.33,0.34,570.0
1991-03-05,1.72,0.52,0.52,580.0
1991-03-06,0.0,0.97,1.52,600.0
1991-03-07,15.56,0.72,0.97,615.0
1991-03-08,8.2,0.4,0.4,640.0
1991-03-09,3.38,0.47,0.49,650.0
1991-03-10,3.44,0.65,0.78,655.0
1991-03-11,0.02,0.88,0.95,660.0
1991-03-12,0.0,0.79,0.75,660.0
1991-03-13,0.0,0.87,0.83,655.0
1991-03-14,0.0,1.0,0.99,640.0
1991-03-15,0.0,1.12,1.19,635.0
1991-03-16,0.0,1.34,1.57,625.0
1991-03-17,0.0,1.49,1.76,620.0
1991-03-18,6.07,1.21,1.88,620.0
1991-03-19,16.61,0.98,1.04,618.0
1991-03-20,0.0,0.77,0.62,660.0
1991-03-21,0.0,1.08,1.04,675.0
1991-03-22,0.0,1.34,1.39,680.0
1991-03-23,10.09,1.03,1.44,680.0
1991-03-24,5.33,1.05,1.1,695.0
1991-03-25,0.0,1.89,1.95,700.0
1991-03-26,0.0,2.21,2.73,700.0
1991-03-27,8.42,1.63,2.36,757.0
1991-03-28,9.94,1.51,1.6,950.0
1991-03-29,0.01,1.49,1.31,1110.0
1991-03-30,0.0,1.26,1.09,1250.0
1991-03-31,0.0,2.09,2.07,1330.0
1991-04-01,0.0,2.19,2.08,1370.0
1991-04-02,0.0,2.32,2.21,1400.0
1991-04-03,0.0,1.97,1.84,1450.0
1991-04-04,0.0,3.02,3.11,1500.0
1991-04-05,1.73,2.4,2.27,1610.0
1991-04-06,2.82,1.94,1.92,1850.0
1991-04-07,6.76,1.17,1.01,2300.0
1991-04-08,3.54,1.8,1.72,2900.0
1991-04-09,15.82,0.84,0.69,3900.0
1991-04-10,12.98,0.74,0.6,4890.0
1991-04-11,3.22,1.11,0.9,5310.0
1991-04-12,0.0,1.5,1.2,5350.0
1991-04-13,0.0,2.68,2.42,5380.0
1991-04-14,0.0,3.21,3.04,5420.0
1991-04-15,2.14,2.9,2.85,5470.0
1991-04-16,3.18,1.29,1.04,5580.0
1991-04-17,0.0,2.43,2.05,5510.0
1991-04-18,0.0,3.45,3.14,5470.0
1991-04-19,0.0,3.74,3.53,5520.0
1991-04-20,0.0,3.5,3.2,5590.0
1991-04-21,14.16,1.82,1.59,5690.0
1991-04-22,9.3,1.51,1.25,6200.0
1991-04-23,0.3,2.33,1.89,7020.0
1991-04-24,0.0,4.53,4.26,7700.0
1991-04-25,0.0,3.68,3.2,8500.0
1991-04-26,0.0,4.92,5.07,9210.0
1991-04-27,0.0,3.18,2.66,10000.0
1991-04-28,0.0,4.01,3.54,10200.0
1991-04-29,0.0,4.7,4.56,10100.0
1991-04-30,5.2,3.28,3.53,10100.0
1991-05-01,1.65,3.87,3.58,10200.0
1991-05-02,2.64,2.79,2.44,10300.0
1991-05-03,11.18,1.44,1.14,10200.0
1991-05-04,0.0,1.99,1.51,10300.0
1991-05-05,0.0,3.63,3.01,9890.0
1991-05-06,16.98,3.36,3.45,9360.0
1991-05-07,3.58,3.21,2.84,9440.0
1991-05-08,0.0,3.24,2.64,9160.0
1991-05-09,0.0,4.67,4.14,8730.0
1991-05-10,0.0,5.06,4.73,8220.0
1991-05-11,1.58,5.49,5.53,7640.0
1991-05-12,0.76,4.33,3.98,7040.0
1991-05-13,0.0,5.53,5.42,6530.0
1991-05-14,0.0,4.01,3.5,6020.0
1991-05-15,0.0,5.31,5.2,5560.0
1991-05-16,8.96,3.94,4.2,5110.0
1991-05-17,6.51,1.74,1.47,4850.0
1991-05-18,0.0,3.28,2.73,4600.0
1991-05-19,0.0,5.08,4.86,4260.0
1991-05-20,0.0,5.92,6.09,3950.0
1991-05-21,0.0,5.67,5.59,3660.0
1991-05-22,0.0,4.57,4.19,3370.0
1991-05-23,7.65,3.87,4.35,3120.0
1991-05-24,4.62,4.57,5.32,2940.0
1991-05-25,0.0,4.04,3.63,2720.0
1991-05-26,7.23,4.11,4.42,2520.0
1991-05-27,21.9,1.79,1.55,2400.0
1991-05-28,2.89,3.2,3.0,2550.0
1991-05-29,0.0,4.84,4.44,2460.0
1991-05-30,1.01,4.54,4.21,2380.0
1991-05-31,3.54,1.64,1.39,2290.0
1991-06-01,0.62,3.32,2.81,2170.0
1991-06-02,0.0,4.84,4.49,2050.0
1991-06-03,0.0,4.53,4.13,1930.0
1991-06-04,0.62,3.89,3.41,1820.0
1991-06-05,0.0,3.57,3.06,1720.0
1991-06-06,0.0,5.28,5.18,1620.0
1991-06-07,0.0,6.01,6.41,1530.0
1991-06-08,0.0,4.78,4.46,1420.0
1991-06-09,0.0,5.2,5.23,1340.0
1991-06-10,0.41,5.38,5.43,1260.0
1991-06-11,0.0,4.22,3.92,1190.0
1991-06-12,7.99,3.35,3.3,1120.0
1991-06-13,3.6,2.31,2.02,1060.0
1991-06-14,1.33,3.8,3.47,983.0
1991-06-15,1.25,2.96,2.55,947.0
1991-06-16,0.0,4.93,4.95,895.0
1991-06-17,0.0,5.2,5.36,844.0
1991-06-18,0.0,5.76,6.43,801.0
1991-06-19,0.0,5.64,5.87,766.0
1991-06-20,4.76,4.29,4.64,718.0
1991-06-21,0.0,3.35,2.96,677.0
1991-06-22,0.0,3.89,3.48,630.0
1991-06-23,0.0,4.9,4.89,602.0
1991-06-24,0.0,5.26,5.75,571.0
1991-06-25,0.0,5.47,6.13,549.0
1991-06-26,1.71,4.95,5.2,525.0
1991-06-27,4.81,4.2,4.83,499.0
1991-06-28,8.91,4.05,4.43,490.0
1991-06-29,0.0,2.92,2.58,456.0
1991-06-30,0.0,4.02,3.75,433.0
1991-07-01,0.0,3.81,3.53,406.0
1991-07-02,0.0,4.06,3.81,384.0
1991-07-03,0.0,4.95,5.28,371.0
1991-07-04,0.0,5.21,5.82,361.0
1991-07-05,0.25,4.77,4.86,352.0
1991-07-06,2.24,1.83,1.63,345.0
1991-07-07,10.02,3.45,3.6,347.0
1991-07-08,24.74,2.1,2.0,452.0
1991-07-09,0.0,1.94,1.61,558.0
1991-07-10,0.0,3.27,2.89,514.0
1991-07-11,0.0,3.92,3.6,481.0
1991-07-12,0.0,4.91,5.16,458.0
1991-07-13,4.96,3.8,4.14,443.0
1991-07-14,0.09,3.72,3.45,431.0
1991-07-15,0.0,4.85,5.03,411.0
1991-07-16,0.0,5.15,5.81,394.0
1991-07-17,1.59,3.86,3.67,382.0
1991-07-18,0.0,4.67,4.62,370.0
1991-07-19,0.0,5.57,6.35,359.0
1991-07-20,0.0,5.21,5.46,347.0
1991-07-21,1.2,3.16,2.97,334.0
1991-07-22,0.0,4.13,4.02,309.0
1991-07-23,3.0,2.88,2.88,299.0
1991-07-24,0.0,4.64,4.8,290.0
1991-07-25,0.86,4.63,5.0,276.0
1991-07-26,4.43,4.03,4.64,266.0
1991-07-27,0.0,4.13,3.97,267.0
1991-07-28,0.0,4.6,4.97,254.0
1991-07-29,0.0,4.78,5.43,241.0
1991-07-30,0.0,4.91,5.75,232.0
1991-07-31,1.49,4.05,4.1,226.0
1991-08-01,6.22,3.58,4.06,218.0
1991-08-02,4.18,3.22,3.48,218.0
1991-08-03,0.0,4.21,4.33,218.0
1991-08-04,2.24,2.61,2.41,213.0
1991-08-05,4.29,1.72,1.62,209.0
1991-08-06,0.0,4.28,4.7,207.0
1991-08-07,0.0,4.44,5.04,194.0
1991-08-08,0.0,4.33,4.83,185.0
1991-08-09,4.97,3.64,4.62,182.0
1991-08-10,37.56,1.32,1.3,209.0
1991-08-11,6.67,2.19,2.21,306.0
1991-08-12,0.0,3.86,3.99,323.0
1991-08-13,0.0,4.46,5.14,297.0
1991-08-14,0.0,4.09,4.37,277.0
