time,prcp(mm/h),pet(mm/h),flow(m^3/s)
1980-02-03 00:00:00,7.5841,0.0662,
1980-02-03 09:00:00,1.6516,0.1232,
1980-02-03 18:00:00,0.0001,0.3036,
1980-02-04 03:00:00,0.0001,0.0573,
1980-02-04 12:00:00,0.0009,2.9378,
1980-02-04 21:00:00,0.0,0.0507,
1980-02-05 06:00:00,0.0884,0.0025,
1980-02-05 15:00:00,2.9674,0.4958,
1980-02-06 00:00:00,3.3372,0.2343,
1980-02-06 09:00:00,0.4848,0.1795,
1980-02-06 18:00:00,0.0038,0.6891,
1980-02-07 03:00:00,0.0026,0.1735,
1980-02-07 12:00:00,0.0004,4.0285,
1980-02-07 21:00:00,0.0,0.9931,
1980-02-08 06:00:00,0.0,0.5331,
1980-02-08 15:00:00,0.0,3.9319,
1980-02-09 00:00:00,0.0,0.012,
1980-02-09 09:00:00,0.005,0.0741,
1980-02-09 18:00:00,0.0114,0.566,
1980-02-10 03:00:00,0.0083,0.0052,
1980-02-10 12:00:00,0.0308,2.4012,
1980-02-10 21:00:00,0.0076,0.0036,
1980-02-11 06:00:00,0.0021,0.0055,
1980-02-11 15:00:00,0.1599,3.4371,
1980-02-12 00:00:00,0.0033,0.008,
1980-02-12 09:00:00,0.0004,0.1754,
1980-02-12 18:00:00,0.0,0.9075,
1980-02-13 03:00:00,0.0004,0.0152,
1980-02-13 12:00:00,0.0,4.3604,
1980-02-13 21:00:00,0.0,0.1023,
1980-02-14 06:00:00,0.0005,0.0016,
1980-02-14 15:00:00,0.0012,3.4678,
1980-02-15 00:00:00,0.0114,0.1016,
1980-02-15 09:00:00,0.0,0.4452,
1980-02-15 18:00:00,0.9146,0.6688,
1980-02-16 03:00:00,0.0011,0.3063,
1980-02-16 12:00:00,1.3411,0.6567,
1980-02-16 21:00:00,1.8737,0.4066,
1980-02-17 06:00:00,1.4102,0.278,
1980-02-17 15:00:00,5.8378,0.6911,
1980-02-18 00:00:00,3.6517,0.2788,
1980-02-18 09:00:00,6.1416,0.5489,
1980-02-18 18:00:00,3.5559,0.3193,
1980-02-19 03:00:00,0.5761,0.1386,
1980-02-19 12:00:00,2.3281,0.45,
1980-02-19 21:00:00,0.9045,0.1613,
1980-02-20 06:00:00,0.9753,0.0302,
1980-02-20 15:00:00,1.0924,1.4286,
1980-02-21 00:00:00,0.4573,0.3214,
1980-02-21 09:00:00,0.0485,0.4749,
1980-02-21 18:00:00,0.0056,1.2131,
1980-02-22 03:00:00,7.9365,0.4412,
1980-02-22 12:00:00,2.058,0.8687,
1980-02-22 21:00:00,0.0468,0.1714,
1980-02-23 06:00:00,0.0004,0.1793,
1980-02-23 15:00:00,0.0279,2.7348,
1980-02-24 00:00:00,2.8634,0.663,
1980-02-24 09:00:00,0.1094,0.629,
1980-02-24 18:00:00,1.0857,0.8598,
1980-02-25 03:00:00,1.1552,0.2963,
1980-02-25 12:00:00,3.2981,0.839,
1980-02-25 21:00:00,1.5162,0.4485,
1980-02-26 06:00:00,0.5911,0.9291,
1980-02-26 15:00:00,0.4077,2.795,
1980-02-27 00:00:00,0.3511,0.3905,
1980-02-27 09:00:00,5.5732,0.3259,
1980-02-27 18:00:00,3.3346,0.406,
1980-02-28 03:00:00,4.3017,0.1729,
1980-02-28 12:00:00,1.0889,1.4767,
1980-02-28 21:00:00,0.0028,0.0855,
1980-02-29 06:00:00,0.0,0.0524,
1980-02-29 15:00:00,0.0004,3.9797,
1980-03-01 00:00:00,0.0,0.0126,
1980-03-01 09:00:00,0.0,0.3126,
1980-03-01 18:00:00,1.0298,0.7431,
1980-03-02 03:00:00,0.0074,0.0154,
1980-03-02 12:00:00,1.4335,0.4805,
1980-03-02 21:00:00,0.0521,0.0408,
1980-03-03 06:00:00,1.156,0.0341,
1980-03-03 15:00:00,1.9532,0.6457,
1980-03-04 00:00:00,1.3909,0.1214,
1980-03-04 09:00:00,0.0006,1.038,
1980-03-04 18:00:00,2.0382,1.0732,
1980-03-05 03:00:00,0.4239,0.2778,
1980-03-05 12:00:00,0.7357,2.6697,
1980-03-05 21:00:00,0.5657,0.0695,
1980-03-06 06:00:00,0.1845,0.0297,
1980-03-06 15:00:00,0.933,2.0365,
1980-03-07 00:00:00,0.0069,0.0058,
1980-03-07 09:00:00,0.0,1.2457,
1980-03-07 18:00:00,0.0002,2.0855,
1980-03-08 03:00:00,0.0,0.0137,
1980-03-08 12:00:00,0.5727,4.1088,
1980-03-08 21:00:00,0.0003,0.0743,
1980-03-09 06:00:00,0.0004,0.0013,
1980-03-09 15:00:00,0.0,5.4993,
1980-03-10 00:00:00,0.0,0.1305,
1980-03-10 09:00:00,0.0004,2.2733,
1980-03-10 18:00:00,0.3974,1.2807,
1980-03-11 03:00:00,1.1799,0.1639,
1980-03-11 12:00:00,2.0028,1.1764,
1980-03-11 21:00:00,0.9237,0.1178,
1980-03-12 06:00:00,0.025,0.0096,
1980-03-12 15:00:00,1.326,2.1044,
1980-03-13 00:00:00,7.0256,0.3683,
1980-03-13 09:00:00,5.5688,0.213,
1980-03-13 18:00:00,11.0782,0.1378,
1980-03-14 03:00:00,14.9399,0.1455,
1980-03-14 12:00:00,1.5667,1.1247,
1980-03-14 21:00:00,2.8643,0.2427,
1980-03-15 06:00:00,2.2813,0.0668,
1980-03-15 15:00:00,0.096,3.5827,
1980-03-16 00:00:00,0.0023,0.0109,
1980-03-16 09:00:00,0.0,1.3145,
1980-03-16 18:00:00,0.0,1.2394,
1980-03-17 03:00:00,0.061,0.0096,
1980-03-17 12:00:00,7.136,0.9146,
1980-03-17 21:00:00,1.261,0.0516,
1980-03-18 06:00:00,0.0022,0.1332,
1980-03-18 15:00:00,0.0006,5.5469,
1980-03-19 00:00:00,0.0,0.5398,
1980-03-19 09:00:00,0.0,1.5016,
1980-03-19 18:00:00,0.0,1.6965,
1980-03-20 03:00:00,2.1651,0.122,
1980-03-20 12:00:00,1.8981,1.2197,
1980-03-20 21:00:00,5.2543,0.0965,
1980-03-21 06:00:00,0.0005,0.0434,
1980-03-21 15:00:00,0.0183,4.9914,
1980-03-22 00:00:00,0.002,0.4405,
1980-03-22 09:00:00,0.0,1.5736,
1980-03-22 18:00:00,0.0,3.1219,
1980-03-23 03:00:00,0.0018,0.4819,
1980-03-23 12:00:00,0.0,6.1041,
1980-03-23 21:00:00,0.0,1.5122,
1980-03-24 06:00:00,0.0006,0.3479,
1980-03-24 15:00:00,0.0,6.0154,
1980-03-25 00:00:00,0.2701,0.1057,
1980-03-25 09:00:00,0.1199,1.0436,
1980-03-25 18:00:00,0.0001,1.9998,
1980-03-26 03:00:00,0.0634,0.0035,
1980-03-26 12:00:00,1.0785,0.9133,
1980-03-26 21:00:00,0.017,0.2067,
1980-03-27 06:00:00,0.0037,0.1357,
1980-03-27 15:00:00,0.0,6.2974,
1980-03-28 00:00:00,0.0,0.5322,
1980-03-28 09:00:00,0.0,2.3164,
1980-03-28 18:00:00,0.0,2.4952,
1980-03-29 03:00:00,0.0,0.0112,
1980-03-29 12:00:00,0.0,5.3423,
1980-03-29 21:00:00,0.0,0.3787,
1980-03-30 06:00:00,0.0019,0.8722,
1980-03-30 15:00:00,0.0,7.6931,
1980-03-31 00:00:00,0.0004,0.7969,
1980-03-31 09:00:00,0.3542,1.5322,
1980-03-31 18:00:00,1.3363,0.5946,
1980-04-01 03:00:00,0.0033,0.2456,
1980-04-01 12:00:00,0.005,6.3282,
1980-04-01 21:00:00,0.0001,1.2378,
1980-04-02 06:00:00,0.0001,0.4028,
1980-04-02 15:00:00,0.0,6.2241,
1980-04-03 00:00:00,0.0015,0.0164,
1980-04-03 09:00:00,0.0,2.1884,
1980-04-03 18:00:00,3.0859,0.4355,
1980-04-04 03:00:00,1.0682,0.2053,
1980-04-04 12:00:00,3.5799,0.6879,
1980-04-04 21:00:00,4.3394,0.4736,
1980-04-05 06:00:00,7.3051,0.3201,
1980-04-05 15:00:00,3.1927,1.3437,
1980-04-06 00:00:00,4.7761,0.3321,
1980-04-06 09:00:00,2.7671,0.6991,
1980-04-06 18:00:00,1.1569,0.6372,
1980-04-07 03:00:00,0.0099,0.0277,
1980-04-07 12:00:00,0.0278,3.7415,
1980-04-07 21:00:00,0.0908,1.1599,
1980-04-08 06:00:00,1.712,0.3469,
1980-04-08 15:00:00,0.0267,3.3608,
1980-04-09 00:00:00,9.1939,0.7082,
1980-04-09 09:00:00,0.1727,1.6699,
1980-04-09 18:00:00,0.5869,1.2711,
1980-04-10 03:00:00,0.0607,0.0009,
1980-04-10 12:00:00,0.0,5.8579,
1980-04-10 21:00:00,0.0,1.4007,
1980-04-11 06:00:00,0.0,1.255,
1980-04-11 15:00:00,0.0,7.2409,
1980-04-12 00:00:00,0.0004,0.5254,
1980-04-12 09:00:00,0.0,2.0398,
1980-04-12 18:00:00,0.0,4.6545,
1980-04-13 03:00:00,0.0,0.1627,
1980-04-13 12:00:00,0.0,8.615,
1980-04-13 21:00:00,2.5832,0.2442,
1980-04-14 06:00:00,2.247,0.8548,
1980-04-14 15:00:00,1.8682,0.7002,
1980-04-15 00:00:00,0.0112,0.0289,
1980-04-15 09:00:00,0.0,2.2064,
1980-04-15 18:00:00,0.0,2.8705,
1980-04-16 03:00:00,0.0004,0.0146,
1980-04-16 12:00:00,0.0009,6.044,
1980-04-16 21:00:00,0.0,0.2516,
1980-04-17 06:00:00,0.0017,0.001,
1980-04-17 15:00:00,0.0,6.5225,
1980-04-18 00:00:00,0.0,0.0035,
1980-04-18 09:00:00,0.0009,3.9082,
1980-04-18 18:00:00,0.0105,1.9225,
1980-04-19 03:00:00,0.0683,0.216,
1980-04-19 12:00:00,0.0551,3.7436,
1980-04-19 21:00:00,2.2251,0.125,
1980-04-20 06:00:00,5.1414,0.125,
1980-04-20 15:00:00,5.6262,0.5754,
1980-04-21 00:00:00,3.341,0.1361,
1980-04-21 09:00:00,0.7324,1.5025,
1980-04-21 18:00:00,0.0089,3.3986,
1980-04-22 03:00:00,0.0,0.2446,
1980-04-22 12:00:00,0.0,5.203,
1980-04-22 21:00:00,0.0,0.5092,
1980-04-23 06:00:00,0.0074,0.0021,
1980-04-23 15:00:00,0.0,5.4396,
1980-04-24 00:00:00,1.2919,0.4132,
1980-04-24 09:00:00,0.0403,2.0236,
1980-04-24 18:00:00,0.0,2.473,
1980-04-25 03:00:00,0.0,0.0018,
1980-04-25 12:00:00,0.0,5.6562,
1980-04-25 21:00:00,0.0009,0.6838,
1980-04-26 06:00:00,0.0001,0.0021,
1980-04-26 15:00:00,0.0049,4.9716,
1980-04-27 00:00:00,0.0,0.0231,
1980-04-27 09:00:00,0.0004,3.3514,
1980-04-27 18:00:00,0.0133,1.7049,
1980-04-28 03:00:00,0.0135,0.004,
1980-04-28 12:00:00,0.003,5.7062,
1980-04-28 21:00:00,0.0003,0.6163,
1980-04-29 06:00:00,0.0,1.0655,
1980-04-29 15:00:00,0.0,9.5864,
1980-04-30 00:00:00,0.0,1.7953,
1980-04-30 09:00:00,0.0004,4.3636,
1980-04-30 18:00:00,0.0,5.8822,
1980-05-01 03:00:00,0.0,0.9791,
1980-05-01 12:00:00,0.0004,8.6401,
1980-05-01 21:00:00,0.0044,0.5458,
1980-05-02 06:00:00,0.0004,0.1025,
1980-05-02 15:00:00,0.0,6.3858,
1980-05-03 00:00:00,0.0009,0.1178,
1980-05-03 09:00:00,0.0,2.9411,
1980-05-03 18:00:00,0.0005,2.7433,
1980-05-04 03:00:00,0.0162,0.0122,
1980-05-04 12:00:00,0.0015,4.8047,
1980-05-04 21:00:00,0.0,0.8897,
1980-05-05 06:00:00,0.0,0.006,
1980-05-05 15:00:00,0.1885,2.6572,
1980-05-06 00:00:00,0.0077,0.108,
1980-05-06 09:00:00,0.0012,3.3849,
1980-05-06 18:00:00,0.0,3.725,
1980-05-07 03:00:00,0.0,0.218,
1980-05-07 12:00:00,0.0,7.5189,
1980-05-07 21:00:00,0.0,0.6586,
1980-05-08 06:00:00,0.0035,0.0265,
1980-05-08 15:00:00,0.1804,3.2609,
1980-05-09 00:00:00,4.6946,0.2972,
1980-05-09 09:00:00,5.4318,0.6631,
1980-05-09 18:00:00,1.5472,0.8332,
1980-05-10 03:00:00,0.0036,0.0114,
1980-05-10 12:00:00,0.1331,4.4102,
1980-05-10 21:00:00,0.0151,0.4837,
1980-05-11 06:00:00,0.0043,0.0803,
1980-05-11 15:00:00,0.2206,3.759,
1980-05-12 00:00:00,0.0163,0.0384,
1980-05-12 09:00:00,0.2049,1.5113,
1980-05-12 18:00:00,0.0243,1.5071,
1980-05-13 03:00:00,0.0024,0.1663,
1980-05-13 12:00:00,0.122,2.6033,
1980-05-13 21:00:00,0.0133,0.6518,
1980-05-14 06:00:00,0.0025,0.6303,
1980-05-14 15:00:00,0.0,6.3925,
1980-05-15 00:00:00,0.0,0.0897,
1980-05-15 09:00:00,0.0,4.184,
1980-05-15 18:00:00,0.0,3.4138,
1980-05-16 03:00:00,0.0,0.0153,
1980-05-16 12:00:00,0.0004,8.1045,
1980-05-16 21:00:00,0.0035,1.0382,
1980-05-17 06:00:00,0.0009,0.1837,
1980-05-17 15:00:00,0.0,8.6769,
1980-05-18 00:00:00,0.0004,0.1353,
1980-05-18 09:00:00,0.0001,3.1645,
1980-05-18 18:00:00,0.0008,2.6201,
1980-05-19 03:00:00,0.0006,0.0145,
1980-05-19 12:00:00,0.0,7.4782,
1980-05-19 21:00:00,0.0,0.7299,
1980-05-20 06:00:00,0.0,0.002,
1980-05-20 15:00:00,0.0,7.8745,
1980-05-21 00:00:00,0.0033,0.1685,
1980-05-21 09:00:00,0.0143,3.3609,
1980-05-21 18:00:00,0.1995,1.1706,
1980-05-22 03:00:00,0.0262,0.207,
1980-05-22 12:00:00,0.7421,3.4096,
1980-05-22 21:00:00,0.3053,0.6254,
1980-05-23 06:00:00,0.4948,0.2258,
1980-05-23 15:00:00,1.707,2.0994,
1980-05-24 00:00:00,0.0126,0.0954,
1980-05-24 09:00:00,1.3512,1.1067,
1980-05-24 18:00:00,0.3654,2.2958,
1980-05-25 03:00:00,0.0169,0.1071,
1980-05-25 12:00:00,0.6089,4.7872,
1980-05-25 21:00:00,0.0016,0.7627,
1980-05-26 06:00:00,0.0004,0.09,
1980-05-26 15:00:00,0.0001,5.0593,
1980-05-27 00:00:00,0.0004,0.0129,
1980-05-27 09:00:00,0.0004,4.0933,
1980-05-27 18:00:00,0.0,2.7535,
1980-05-28 03:00:00,0.0003,0.018,
1980-05-28 12:00:00,0.0342,6.0381,
1980-05-28 21:00:00,0.0,0.3477,
1980-05-29 06:00:00,0.004,0.0396,
1980-05-29 15:00:00,0.0016,6.3721,
1980-05-30 00:00:00,0.0005,0.1634,
1980-05-30 09:00:00,0.0005,4.3003,
1980-05-30 18:00:00,0.0,5.6668,
1980-05-31 03:00:00,0.0,0.4336,
1980-05-31 12:00:00,0.0008,8.7095,
1980-05-31 21:00:00,0.0,1.8412,
1980-06-01 06:00:00,0.0006,0.2142,
1980-06-01 15:00:00,0.0024,5.373,
1980-06-02 00:00:00,0.0006,1.0588,
1980-06-02 09:00:00,0.2489,3.527,
1980-06-02 18:00:00,0.9143,1.6422,
1980-06-03 03:00:00,0.1936,0.0439,
1980-06-03 12:00:00,1.8032,2.1946,
1980-06-03 21:00:00,0.0151,0.312,
1980-06-04 06:00:00,0.02,0.0368,
1980-06-04 15:00:00,1.4289,3.618,
1980-06-05 00:00:00,0.0469,0.0001,
1980-06-05 09:00:00,0.1957,2.3528,
1980-06-05 18:00:00,0.0431,2.2419,
1980-06-06 03:00:00,0.0,0.0046,
1980-06-06 12:00:00,0.0,6.5165,
1980-06-06 21:00:00,0.0177,0.5201,
1980-06-07 06:00:00,0.0,0.1852,
1980-06-07 15:00:00,0.0163,4.3638,
1980-06-08 00:00:00,0.0044,0.0542,
1980-06-08 09:00:00,0.0013,4.2067,
1980-06-08 18:00:00,0.008,2.1457,
1980-06-09 03:00:00,0.0078,0.0229,
1980-06-09 12:00:00,0.0,7.4,
1980-06-09 21:00:00,0.0,0.4937,
1980-06-10 06:00:00,0.0025,0.0696,
1980-06-10 15:00:00,0.0,6.4209,
1980-06-11 00:00:00,0.0043,0.0348,
1980-06-11 09:00:00,0.091,2.0533,
1980-06-11 18:00:00,0.0566,1.8807,
1980-06-12 03:00:00,0.3838,0.0647,
1980-06-12 12:00:00,0.4667,4.3124,
1980-06-12 21:00:00,0.1046,0.4176,
1980-06-13 06:00:00,0.0001,0.0196,
1980-06-13 15:00:00,0.2943,3.4004,
1980-06-14 00:00:00,0.0241,0.1812,
1980-06-14 09:00:00,0.0193,3.8044,
1980-06-14 18:00:00,0.0,3.3013,
1980-06-15 03:00:00,0.0,0.0058,
1980-06-15 12:00:00,0.0,8.448,
1980-06-15 21:00:00,0.0011,0.6914,
1980-06-16 06:00:00,0.0601,0.1623,
1980-06-16 15:00:00,0.0,7.4476,
1980-06-17 00:00:00,0.0,0.8511,
1980-06-17 09:00:00,0.0,4.4877,
1980-06-17 18:00:00,0.0,6.1879,
1980-06-18 03:00:00,0.0,0.3222,
1980-06-18 12:00:00,0.0,9.0004,
1980-06-18 21:00:00,0.0,1.5696,
1980-06-19 06:00:00,0.0,0.014,
1980-06-19 15:00:00,0.0,7.0596,
1980-06-20 00:00:00,0.009,0.432,
1980-06-20 09:00:00,0.0011,3.4892,
1980-06-20 18:00:00,0.0,4.3381,
1980-06-21 03:00:00,0.001,0.0043,
1980-06-21 12:00:00,0.0122,5.5359,
1980-06-21 21:00:00,0.0006,0.6652,
1980-06-22 06:00:00,0.0247,0.3023,
1980-06-22 15:00:00,0.0196,4.8123,
1980-06-23 00:00:00,1.8508,0.2638,
1980-06-23 09:00:00,0.8347,1.6929,
1980-06-23 18:00:00,0.0002,2.3863,
1980-06-24 03:00:00,0.0503,0.1861,
1980-06-24 12:00:00,0.1935,3.1286,
1980-06-24 21:00:00,0.3696,0.1866,
1980-06-25 06:00:00,0.2409,0.2482,
1980-06-25 15:00:00,0.0976,5.6663,
1980-06-26 00:00:00,0.0336,0.0251,
1980-06-26 09:00:00,0.0259,4.2486,
1980-06-26 18:00:00,0.0,4.4888,
1980-06-27 03:00:00,0.0,0.7402,
1980-06-27 12:00:00,0.0,11.0499,
1980-06-27 21:00:00,0.0,3.9435,
1980-06-28 06:00:00,0.0,1.159,
1980-06-28 15:00:00,0.0,10.3091,
1980-06-29 00:00:00,0.0,0.7349,
1980-06-29 09:00:00,0.0,4.6846,
1980-06-29 18:00:00,0.0,6.173,
1980-06-30 03:00:00,0.0,0.3588,
1980-06-30 12:00:00,0.0004,9.3296,
1980-06-30 21:00:00,0.0,1.6053,
1980-07-01 06:00:00,0.0005,0.016,
1980-07-01 15:00:00,0.0001,8.4516,
1980-07-02 00:00:00,0.0006,0.0561,
1980-07-02 09:00:00,0.0102,4.577,
1980-07-02 18:00:00,0.0,4.1366,
1980-07-03 03:00:00,0.0047,0.0524,
1980-07-03 12:00:00,0.0,7.5793,
1980-07-03 21:00:00,0.0006,1.2666,
1980-07-04 06:00:00,0.0024,0.2381,
1980-07-04 15:00:00,0.007,4.8082,
1980-07-05 00:00:00,0.0007,0.0945,
1980-07-05 09:00:00,0.0084,2.6541,
1980-07-05 18:00:00,0.0,3.6526,
1980-07-06 03:00:00,0.0009,0.0086,
1980-07-06 12:00:00,0.001,6.8529,
1980-07-06 21:00:00,0.0,0.5331,
1980-07-07 06:00:00,0.0084,0.0273,
1980-07-07 15:00:00,0.0135,5.8458,
1980-07-08 00:00:00,0.0066,0.1293,
1980-07-08 09:00:00,0.0156,2.8829,
1980-07-08 18:00:00,0.0043,2.834,
1980-07-09 03:00:00,0.0288,0.0059,
1980-07-09 12:00:00,0.1966,4.905,
1980-07-09 21:00:00,0.0,0.5972,
1980-07-10 06:00:00,0.0,0.0095,
1980-07-10 15:00:00,0.0,8.1392,
1980-07-11 00:00:00,0.0,0.0143,
1980-07-11 09:00:00,0.0043,4.1584,
1980-07-11 18:00:00,0.0,4.8234,
1980-07-12 03:00:00,0.0003,0.0142,
1980-07-12 12:00:00,0.0005,8.8694,
1980-07-12 21:00:00,0.0,2.4124,
1980-07-13 06:00:00,0.0,0.4121,
1980-07-13 15:00:00,0.0,10.3907,
1980-07-14 00:00:00,0.0009,0.2072,
1980-07-14 09:00:00,0.0,5.2573,
1980-07-14 18:00:00,0.0,5.365,
1980-07-15 03:00:00,0.0004,0.0617,
1980-07-15 12:00:00,0.0,10.3878,
1980-07-15 21:00:00,0.0,2.4713,
1980-07-16 06:00:00,0.0,0.1585,
1980-07-16 15:00:00,0.0,10.5384,
1980-07-17 00:00:00,0.0017,0.5029,
1980-07-17 09:00:00,0.0,5.1087,
1980-07-17 18:00:00,0.0,7.1593,
1980-07-18 03:00:00,0.0,0.5571,
1980-07-18 12:00:00,0.0,12.197,
1980-07-18 21:00:00,0.0,4.7312,
1980-07-19 06:00:00,0.0,1.6469,
1980-07-19 15:00:00,0.0,13.4092,
1980-07-20 00:00:00,0.0,3.1399,
1980-07-20 09:00:00,0.0,5.3233,
1980-07-20 18:00:00,0.0,7.0608,
1980-07-21 03:00:00,0.0001,0.0077,
1980-07-21 12:00:00,0.0053,9.8702,
1980-07-21 21:00:00,0.0006,2.5681,
1980-07-22 06:00:00,0.0126,0.0265,
1980-07-22 15:00:00,0.0028,9.3793,
1980-07-23 00:00:00,0.0001,0.2987,
1980-07-23 09:00:00,0.0,4.9439,
1980-07-23 18:00:00,0.0,6.9758,
1980-07-24 03:00:00,0.0,0.608,
1980-07-24 12:00:00,0.0004,11.8485,
1980-07-24 21:00:00,0.0,4.7213,
1980-07-25 06:00:00,0.0,2.3179,
1980-07-25 15:00:00,0.0,14.5668,
1980-07-26 00:00:00,0.0009,3.9295,
1980-07-26 09:00:00,0.0,5.5902,
1980-07-26 18:00:00,0.0,8.4347,
1980-07-27 03:00:00,0.0,2.1416,
1980-07-27 12:00:00,0.0,11.8401,
1980-07-27 21:00:00,0.0,3.2952,
1980-07-28 06:00:00,0.0032,0.1106,
1980-07-28 15:00:00,0.0035,12.3637,
1980-07-29 00:00:00,0.0,0.0805,
1980-07-29 09:00:00,0.0,5.3416,
1980-07-29 18:00:00,0.0,7.0402,
1980-07-30 03:00:00,0.0,0.0038,
1980-07-30 12:00:00,0.0303,11.3941,
1980-07-30 21:00:00,0.0184,2.8061,
1980-07-31 06:00:00,0.0063,0.0162,
1980-07-31 15:00:00,0.0002,10.0891,
1980-08-01 00:00:00,0.0,0.1119,
1980-08-01 09:00:00,0.0002,6.7559,
1980-08-01 18:00:00,0.0,6.7628,
1980-08-02 03:00:00,0.0006,0.1678,
1980-08-02 12:00:00,0.0026,9.8011,
1980-08-02 21:00:00,0.0,2.414,
1980-08-03 06:00:00,0.0,0.6541,
1980-08-03 15:00:00,0.0,13.5688,
1980-08-04 00:00:00,0.0009,3.2203,
1980-08-04 09:00:00,0.0,5.4862,
1980-08-04 18:00:00,0.0,9.0534,
1980-08-05 03:00:00,0.0,1.5402,
1980-08-05 12:00:00,0.0,10.1438,
1980-08-05 21:00:00,0.0,2.6436,
1980-08-06 06:00:00,0.0,0.4846,
1980-08-06 15:00:00,0.0,11.2599,
1980-08-07 00:00:00,0.0,0.8495,
1980-08-07 09:00:00,0.0,4.7069,
1980-08-07 18:00:00,0.0,6.04,
1980-08-08 03:00:00,0.0014,0.0173,
1980-08-08 12:00:00,0.0,11.1457,
1980-08-08 21:00:00,0.0,3.3433,
1980-08-09 06:00:00,0.0,0.4226,
1980-08-09 15:00:00,0.0,10.2826,
